CUSTOMER_ID,AGE,CREDIT_SCORE,MONTHLY_INCOME,DEBT_TO_INCOME_RATIO,CREDIT_UTILIZATION_PCT,LATE_PAYMENTS_6M,LATE_PAYMENTS_12M,OPEN_ACCOUNTS,LOAN_BALANCE,MONTHS_ON_BOOK,PAYMENT_RATIO,CREDIT_INQUIRIES_12M,DELINQUENT
CUST000001,70,689,4224.0,22.9,50.2,1,2,2,43553.0,64,0.58,1,1
CUST000002,56,638,2977.0,4.3,45.9,2,4,9,31119.0,12,0.85,2,1
CUST000003,38,701,3397.0,29.3,66.0,0,0,14,26735.0,153,0.64,1,0
CUST000004,25,771,8287.0,38.2,29.3,0,1,12,67703.0,177,1.11,1,0
CUST000005,66,631,4160.0,24.3,30.4,0,0,8,46109.0,211,0.81,2,1
CUST000006,42,631,5099.0,22.5,53.7,1,3,14,25685.0,111,1.15,2,1
CUST000007,34,776,4266.0,53.2,20.4,1,1,2,50217.0,25,0.87,1,1
CUST000008,52,711,12176.0,53.5,52.2,4,5,2,78629.0,87,0.58,1,1
CUST000009,68,612,4225.0,27.3,32.0,0,0,1,34470.0,82,0.53,0,1
CUST000010,52,693,3374.0,15.4,33.9,0,2,12,51876.0,89,0.64,1,0
CUST000011,32,612,3741.0,56.6,70.6,0,2,11,18466.0,46,1.18,1,1
CUST000012,25,612,5134.0,6.9,64.4,2,4,13,70598.0,160,0.57,0,1
CUST000013,72,669,5286.0,17.1,30.9,0,0,5,42450.0,188,0.77,1,1
CUST000014,48,496,3424.0,40.2,43.7,0,1,6,38467.0,47,0.52,1,1
CUST000015,48,512,5956.0,40.4,92.3,0,0,10,81042.0,29,0.85,0,1
CUST000016,49,605,7707.0,29.4,23.1,1,2,1,65928.0,182,0.71,2,1
CUST000017,70,568,3519.0,41.8,30.9,1,3,14,55602.0,209,0.69,3,1
CUST000018,54,675,2548.0,20.6,46.0,0,0,13,27143.0,75,0.81,2,1
CUST000019,37,577,3749.0,35.6,38.8,0,3,11,56554.0,233,0.59,0,1
CUST000020,74,537,7298.0,22.5,86.7,2,3,7,37717.0,120,1.06,0,1
CUST000021,34,767,8848.0,17.0,46.8,0,1,9,104960.0,88,0.77,0,1
CUST000022,60,631,6606.0,1.9,90.5,1,3,7,53060.0,146,0.86,0,1
CUST000023,36,655,5043.0,13.6,16.0,0,2,9,32090.0,224,0.81,0,1
CUST000024,41,536,3888.0,15.2,60.8,0,1,7,44210.0,212,1.06,1,1
CUST000025,47,606,3513.0,51.9,61.2,0,3,9,55193.0,68,0.79,2,1
CUST000026,34,658,5847.0,49.2,54.2,0,1,9,19242.0,117,0.78,4,1
CUST000027,64,557,11015.0,66.9,91.3,0,0,2,213097.0,143,1.19,2,1
CUST000028,22,680,3431.0,20.7,66.1,2,4,3,50087.0,167,0.74,1,1
CUST000029,27,601,20324.0,17.0,57.6,0,2,6,215979.0,86,0.39,2,1
CUST000030,39,626,21718.0,44.9,43.4,1,2,8,128889.0,67,0.7,3,1
CUST000031,42,601,4226.0,40.3,20.0,0,1,5,17800.0,137,0.66,4,1
CUST000032,38,798,2729.0,7.7,70.3,0,0,8,9651.0,64,1.07,1,0
CUST000033,74,648,6736.0,21.7,9.0,2,4,12,62182.0,205,0.67,2,1
CUST000034,49,565,2561.0,12.9,27.6,2,2,14,16272.0,83,1.15,1,1
CUST000035,44,715,2959.0,4.7,72.1,0,1,7,12790.0,217,0.92,2,0
CUST000036,28,552,6753.0,31.7,40.4,0,1,7,25783.0,42,0.7,2,1
CUST000037,55,666,3126.0,39.0,76.1,2,2,3,50527.0,119,0.52,1,1
CUST000038,55,493,4336.0,18.8,62.9,1,2,8,53630.0,219,0.62,1,0
CUST000039,63,543,3342.0,30.8,60.8,2,2,1,19620.0,40,0.74,0,1
CUST000040,56,665,5990.0,13.2,16.0,0,1,3,51176.0,6,0.58,2,1
CUST000041,58,709,1430.0,10.2,3.5,0,3,1,23831.0,142,0.64,1,1
CUST000042,30,663,10291.0,22.0,66.3,0,2,13,86532.0,172,0.96,1,1
CUST000043,70,640,5979.0,41.2,18.3,1,3,6,91303.0,194,0.51,0,1
CUST000044,69,625,7424.0,34.3,50.8,0,1,9,69988.0,231,0.87,3,0
CUST000045,62,531,11409.0,15.9,17.0,1,2,7,81068.0,164,0.65,3,1
CUST000046,52,592,9441.0,34.7,4.6,0,1,5,91090.0,217,1.04,1,1
CUST000047,56,613,3394.0,21.4,16.6,1,1,2,10337.0,207,0.76,1,0
